number,code,name,c_name
2246,600037,歌华有线,云计算
2247,600100,同方股份,云计算
2248,600105,永鼎股份,云计算
2249,600198,大唐电信,云计算
2250,600289,亿阳信通,云计算
2251,600385,山东金泰,云计算
2252,600410,华胜天成,云计算
2253,600522,中天科技,云计算
2254,600536,中国软件,云计算
2255,600588,用友网络,云计算
2256,600589,广东榕泰,云计算
2257,600590,泰豪科技,云计算
2258,600595,中孚实业,云计算
2259,600601,方正科技,云计算
2260,600602,云赛智联,云计算
2261,600718,东软集团,云计算
2262,600728,佳都科技,云计算
2263,600756,浪潮软件,云计算
2264,600770,综艺股份,云计算
2265,600797,浙大网新,云计算
2266,600804,鹏博士,云计算
2267,600845,宝信软件,云计算
2268,600850,华东电脑,云计算
2269,601789,宁波建工,云计算
2270,601928,凤凰传媒,云计算
2271,603019,中科曙光,云计算
2272,21,深科技,云计算
2273,63,中兴通讯,云计算
2274,66,中国长城,云计算
2275,70,特发信息,云计算
2276,611,天首发展,云计算
2277,836,鑫茂科技,云计算
2278,938,紫光股份,云计算
2279,971,高升控股,云计算
2280,977,浪潮信息,云计算
2281,2006,精功科技,云计算
2282,2063,远光软件,云计算
2283,2065,东华软件,云计算
2284,2093,国脉科技,云计算
2285,2095,生 意 宝,云计算
2286,2195,二三四五,云计算
2287,2197,证通电子,云计算
2288,2268,卫 士 通,云计算
2289,2315,焦点科技,云计算
2290,2368,太极股份,云计算
2291,2396,星网锐捷,云计算
2292,2544,杰赛科技,云计算
2293,2642,荣之联,云计算
2294,2657,中科金财,云计算
2295,300002,神州泰岳,云计算
2296,300017,网宿科技,云计算
2297,300020,银江股份,云计算
2298,300036,超图软件,云计算
2299,300051,三五互联,云计算
2300,300188,美亚柏科,云计算
2301,300229,拓尔思,云计算
2302,300245,天玑科技,云计算
2303,300290,荣科科技,云计算
2304,300297,蓝盾股份,云计算
2305,300366,创意信息,云计算
2306,300379,东方通,云计算
2307,300383,光环新网,云计算
