代码,名称,日期,open,high,low,close,成交额(百万),成交量(股)
399001.SZ,深证成指,2008-06-30,9320.94,9510.28,9234.25,9370.78,20994.94,1947316000
399001.SZ,深证成指,2008-07-31,9397.32,10472.61,8922.58,9470.33,793358.71,76328682800
399001.SZ,深证成指,2008-08-29,9420.72,9638.9,7700.96,8004.24,389976.27,43641648900
399001.SZ,深证成指,2008-09-26,7954.01,7954.01,6290.01,7559.27,341064.31,45466492000
399001.SZ,深证成指,2008-10-31,7406.02,7406.02,5577.23,5839.33,306430.46,47695857000
399001.SZ,深证成指,2008-11-28,5794.17,6947.12,5598.21,6658.51,521591.1,87118475900
399001.SZ,深证成指,2008-12-31,6634.6,7585.16,6460.7,6485.51,783680.57,1.1714E+11
399001.SZ,深证成指,2009-01-23,6557.42,7103.83,6514.49,7015.24,514982.78,68903265600
399001.SZ,深证成指,2009-02-27,7073.87,8820.67,6995.84,7608.22,1401206.27,1.71159E+11
399001.SZ,深证成指,2009-03-31,7511.66,9115.04,7495.82,8981.95,1247377.51,1.42356E+11
399001.SZ,深证成指,2009-04-30,9032.4,9793.64,8816.08,9502.52,1561098.47,1.63454E+11
399001.SZ,深证成指,2009-05-27,9567.63,10497.17,9562.95,10127.92,1285546.97,1.30076E+11
399001.SZ,深证成指,2009-06-30,10267.74,11672.7,10267.74,11566.61,1529300.52,1.46976E+11
399001.SZ,深证成指,2009-07-31,11529.54,13881.14,11504.75,13670.72,2354217.98,2.01332E+11
399001.SZ,深证成指,2009-08-31,13735.08,13943.44,10561.74,10585.09,1715452.68,1.43502E+11
399001.SZ,深证成指,2009-09-30,10463.04,12530.07,10387.42,11206.85,1583839.65,1.33351E+11
399001.SZ,深证成指,2009-10-30,11499.7,12941.38,11452.33,12297.16,1235613.48,99798182800
399001.SZ,深证成指,2009-11-30,12016.61,14032.6,11957.58,13486.77,2483415.45,1.93991E+11
399001.SZ,深证成指,2009-12-31,13474.   86,14096.87,12635.68,13699.97,2011432.78,1.45293E+11
399001.SZ,深证成指,2010-01-29,13766.1,13782.81,11903.99,12137.2,1877602.1,1.31913E+11
