代码	名称	日期	open	high	low	close	成交额(百万)	成交量(股)	macd	rsi_6	kdj	cci	sma10	ema10	
399300.SZ	沪深300	2002/1/4	1316.46	1316.46	1316.46	1316.46	0	0	0		33.33333333		1316.46	1316.46	
399300.SZ	沪深300	2002/1/7	1302.08	1302.08	1302.08	1302.08	0	0	-0.322628205	0	22.22222222	-66.66666667	1309.27	1308.551	-1
399300.SZ	沪深300	2002/1/8	1292.71	1292.71	1292.71	1292.71	0	0	-0.70165551	0	14.81481481	-86.86073958	1303.75	1302.183023	-1
399300.SZ	沪深300	2002/1/9	1272.65	1272.65	1272.65	1272.65	0	0	-1.581107423	0	9.87654321	-116.9612636	1295.975	1292.453208	-1
399300.SZ	沪深300	2002/1/10	1281.26	1281.26	1281.26	1281.26	0	0	-1.683090432	21.44171482	13.13537789	-60.41384407	1293.032	1289.239942	1
399300.SZ	沪深300	2002/1/11	1249.81	1249.81	1249.81	1249.81	0	0	-3.05757996	11.05328848	8.756918593	-133.9843145	1285.828333	1278.998624	-1
399300.SZ	沪深300	2002/1/14	1205.15	1205.15	1205.15	1205.15	0	0	-5.909560992	6.054606629	5.837945729	-169.3169837	1274.302857	1261.204072	-1
399300.SZ	沪深300	2002/1/15	1186.43	1186.43	1186.43	1186.43	0	0	-8.617203557	4.932572977	3.891963819	-138.0102592	1263.31875	1244.192611	-1
399300.SZ	沪深300	2002/1/16	1201.88	1201.88	1201.88	1201.88	0	0	-9.594549952	19.67516014	6.555267017	-89.67578712	1256.492222	1234.986867	1
399300.SZ	沪深300	2002/1/17	1152.15	1152.15	1152.15	1152.15	0	0	-12.70982313	12.30481024	4.370178012	-131.1809752	1246.058	1217.586473	-1
399300.SZ	沪深300	2002/1/18	1149.48	1149.48	1149.48	1149.48	0	0	-14.92496991	12.01483449	2.913452008	-110.5134439	1229.36	1203.673172	-1
399300.SZ	沪深300	2002/1/21	1108.61	1108.61	1108.61	1108.61	0	0	-18.59098164	8.38513056	1.942301338	-132.6594214	1210.013	1184.679724	-1
399300.SZ	沪深300	2002/1/22	1109.99	1109.99	1109.99	1109.99	0	0	-20.98522455	9.493006782	1.561302543	-113.879803	1191.741	1170.020428	1
399300.SZ	沪深300	2002/1/23	1183.15	1183.15	1183.15	1183.15	0	0	-18.26471954	48.84615156	18.63765779	-35.18120628	1182.791	1172.56065	1
399300.SZ	沪深300	2002/1/24	1189.58	1189.58	1189.58	1189.58	0	0	-15.59844288	51.08911083	40.38242858	-20.89660341	1173.623	1175.815505	1
399300.SZ	沪深300	2002/1/25	1189.43	1189.43	1189.43	1189.43	0	0	-13.38833062	51.02647826	55.80550455	-12.71220482	1167.585	1178.394887	-1
399300.SZ	沪深300	2002/1/28	1112.84	1112.84	1112.84	1112.84	0	0	-16.27640163	29.13863076	38.71540981	-114.4963633	1158.354	1166.069129	-1
399300.SZ	沪深300	2002/1/29	1140.38	1140.38	1140.38	1140.38	0	0	-16.55199128	40.20586623	38.88919132	-58.71930101	1153.749	1161.268789	1
399300.SZ	沪深300	2002/1/30	1145.86	1145.86	1145.86	1145.86	0	0	-16.21092368	42.35559963	41.26102525	-38.76957678	1148.147	1158.403913	1
399300.SZ	沪深300	2002/1/31	1221.76	1221.76	1221.76	1221.76	0	0	-10.80493307	63.91681863	60.8406835	117.5875594	1155.108	1170.135205	1
399300.SZ	沪深300	2002/2/1	1215.74	1215.74	1215.74	1215.74	0	0	-6.896894599	61.71959034	72.09843545	101.4352978	1161.734	1178.551427	-1
399300.SZ	沪深300	2002/2/4	1236.97	1236.97	1236.97	1236.97	0	0	-2.365041075	66.58125419	81.39895696	123.2357473	1174.57	1189.303053	1
399300.SZ	沪深300	2002/2/5	1246.84	1246.84	1246.84	1246.84	0	0	1.848211313	68.79239877	87.59930464	124.4304216	1188.255	1199.868897	1
399300.SZ	沪深300	2002/2/6	1216.79	1216.79	1216.79	1216.79	0	0	3.032891946	55.4003239	84.25774538	65.17726797	1191.619	1202.97058	-1
399300.SZ	沪深300	2002/2/7	1241.02	1241.02	1241.02	1241.02	0	0	5.602601351	62.46968011	88.05740239	91.74270044	1196.763	1209.9348	1
399300.SZ	沪深300	2002/2/8	1235.09	1235.09	1235.09	1235.09	0	0	7.120948027	59.69099396	88.35926519	74.38211352	1201.329	1214.533403	-1
399300.SZ	沪深300	2002/2/25	1254.61	1254.61	1254.61	1254.61	0	0	9.604362923	65.71494497	92.23951013	97.29132368	1215.506	1221.852521	1
399300.SZ	沪深300	2002/2/26	1253.12	1253.12	1253.12	1253.12	0	0	11.3222715	64.82753047	93.5485766	83.27672871	1226.78	1227.558224	-1
399300.SZ	沪深300	2002/2/27	1256	1256	1256	1256	0	0	12.73857883	65.89574482	95.69905107	79.46430049	1237.794	1232.744856	1
399300.SZ	沪深300	2002/2/28	1244.6	1244.6	1244.6	1244.6	0	0	12.86840537	57.58803339	87.44129546	54.02816901	1240.078	1234.905586	-1
399300.SZ	沪深300	2002/3/1	1227.23	1227.23	1227.23	1227.23	0	0	11.55031527	46.79992297	67.16948389	8.39677947	1241.227	1233.507245	-1
399300.SZ	沪深300	2002/3/4	1245.87	1245.87	1245.87	1245.87	0	0	11.75891312	57.13940277	69.50124056	51.33850095	1242.117	1235.75868	1
399300.SZ	沪深300	2002/3/5	1275.61	1275.61	1275.61	1275.61	0	0	13.98839864	68.7628341	79.6674937	178.0222017	1244.994	1243.014029	1
399300.SZ	沪深300	2002/3/6	1288.44	1288.44	1288.44	1288.44	0	0	16.52546499	72.60840169	86.4449958	197.0713289	1252.159	1251.282298	1
399300.SZ	沪深300	2002/3/7	1328.39	1328.39	1328.39	1328.39	0	0	21.30914454	81.2386635	90.96333053	258.5162451	1260.896	1265.314379	1
399300.SZ	沪深300	2002/3/8	1351.85	1351.85	1351.85	1351.85	0	0	26.56988241	84.64732017	93.97555369	213.2554087	1272.572	1281.059603	1
399300.SZ	沪深300	2002/3/11	1377.04	1377.04	1377.04	1377.04	0	0	32.28270471	87.5596116	95.98370246	186.0108808	1284.815	1298.520996	1
399300.SZ	沪深300	2002/3/12	1362.4	1362.4	1362.4	1362.4	0	0	35.27162242	77.32929976	94.06500886	125.5952508	1295.743	1310.141029	-1
399300.SZ	沪深300	2002/3/13	1343.14	1343.14	1343.14	1343.14	0	0	35.73947173	65.28702863	88.50045158	79.53619733	1304.457	1316.143238	-1
399300.SZ	沪深300	2002/3/14	1376.33	1376.33	1376.33	1376.33	0	0	38.23082581	73.74267805	92.15320695	104.5100324	1317.63	1327.08986	1
399300.SZ	沪深300	2002/3/15	1338.7	1338.7	1338.7	1338.7	0	0	36.85857962	55.38697458	82.1689821	45.90914825	1328.777	1329.201359	-1
399300.SZ	沪深300	2002/3/18	1341.91	1341.91	1341.91	1341.91	0	0	35.60841512	56.49548186	74.89595044	43.38887252	1338.381	1331.512526	1
399300.SZ	沪深300	2002/3/19	1368.38	1368.38	1368.38	1368.38	0	0	36.26183072	65.08103678	77.33042808	72.8273117	1347.658	1338.216903	1
399300.SZ	沪深300	2002/3/20	1382.42	1382.42	1382.42	1382.42	0	0	37.4430298	68.97777605	84.88695205	88.80733352	1357.056	1346.255006	1
399300.SZ	沪深300	2002/3/21	1385.79	1385.79	1385.79	1385.79	0	0	38.20025314	69.94386514	89.9246347	93.94722627	1362.796	1353.444047	1
399300.SZ	沪深300	2002/3/22	1369.9	1369.9	1369.9	1369.9	0	0	37.12243054	59.46568383	82.03512491	53.49205213	1364.601	1356.436332	-1
399300.SZ	沪深300	2002/3/25	1373.01	1373.01	1373.01	1373.01	0	0	36.09551044	60.84339766	78.97690992	53.83643837	1364.198	1359.449968	1
399300.SZ	沪深300	2002/3/26	1350.01	1350.01	1350.01	1350.01	0	0	33.08590487	46.7437462	60.65721934	-45.20206285	1362.959	1357.733497	-1
399300.SZ	沪深300	2002/3/27	1354.1	1354.1	1354.1	1354.1	0	0	30.66976079	49.25320602	51.33925757	-41.09177326	1364.055	1357.072826	1
399300.SZ	沪深300	2002/3/28	1352.53	1352.53	1352.53	1352.53	0	0	28.30399801	48.20685826	42.29362842	-49.18630752	1361.675	1356.246821	-1
399300.SZ	沪深300	2002/3/29	1313.47	1313.47	1313.47	1313.47	0	0	23.06870181	29.49798243	28.19575228	-185.2624385	1359.152	1348.468938	-1
399300.SZ	沪深300	2002/4/1	1317.58	1317.58	1317.58	1317.58	0	0	19.02678197	32.79145598	20.69152659	-136.7847769	1356.719	1342.852602	1
399300.SZ	沪深300	2002/4/2	1296.57	1296.57	1296.57	1296.57	0	0	13.9937633	25.48766728	13.79435106	-170.1105821	1349.538	1334.437381	-1
399300.SZ	沪深300	2002/4/3	1302.25	1302.25	1302.25	1302.25	0	0	10.33807065	30.50900638	11.67312223	-123.0415774	1341.521	1328.585015	1
399300.SZ	沪深300	2002/4/4	1337.73	1337.73	1337.73	1337.73	0	0	10.14861864	53.83073985	25.73079944	-23.41148459	1336.715	1330.247766	1
399300.SZ	沪深300	2002/4/5	1332.2	1332.2	1332.2	1332.2	0	0	9.448695171	50.65133406	37.79816781	-35.72495769	1332.945	1330.602723	-1
399300.SZ	沪深300	2002/4/8	1333.71	1333.71	1333.71	1333.71	0	0	8.91160267	51.58824752	46.71798591	-25.79506358	1329.015	1331.167688	1
399300.SZ	沪深300	2002/4/9	1357.74	1357.74	1357.74	1357.74	0	0	10.28554754	64.47005199	64.47865728	49.91224387	1329.788	1335.99906	1
399300.SZ	沪深300	2002/4/10	1366.72	1366.72	1366.72	1366.72	0	0	11.95369882	68.25768824	76.31910485	86.41652324	1331.05	1341.584726	1
399300.SZ	沪深300	2002/4/11	1344.73	1344.73	1344.73	1344.73	0	0	11.38596636	51.97579304	73.76369879	23.58572344	1330.27	1342.156597	-1
